opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000427,427,ACC000159,Commande 427,Closed Won,60166.2,100.0,2023-02-24,2022-06-01,Reseaux Sociaux,Client Existant - Renouvellement,2
OPP00000428,428,ACC000573,Commande 428,Closed Won,61972.54,100.0,2024-03-11,2023-04-24,Site Web,Nouveau Client,17
OPP00000429,429,ACC000424,Commande 429,Closed Won,67098.6,100.0,2022-03-23,2021-08-28,Reseaux Sociaux,Client Existant - Reduction,71
OPP00000430,430,ACC000438,Commande 430,Closed Won,87081.99,100.0,2024-07-15,2024-02-03,Partenaire,Client Existant - Reduction,26
OPP00000431,431,ACC000320,Commande 431,Closed Won,45368.96,100.0,2024-12-31,2024-05-11,Salon du Livre,Client Existant - Renouvellement,16
OPP00000432,432,ACC000446,Commande 432,Proposition,38111.87,32.6,2023-11-13,2023-09-09,Site Web,Client Existant - Extension,99
OPP00000433,433,ACC000480,Commande 433,Closed Won,65547.67,100.0,2024-08-06,2024-02-03,Demarchage,Client Existant - Reduction,6
OPP00000434,434,ACC000579,Commande 434,Proposition,523.5,55.1,2024-11-03,2024-08-04,Partenaire,Client Existant - Renouvellement,71
OPP00000435,435,ACC000196,Commande 435,Qualification,15306.86,26.8,2024-12-07,2024-03-09,Demarchage,Client Existant - Extension,
OPP00000436,436,ACC000807,Commande 436,Proposition,38090.29,13.2,2024-04-05,2023-08-24,Email,Nouveau Client,99
OPP00000437,437,ACC000749,Commande 437,Closed Won,91351.88,100.0,2023-02-17,2022-11-01,Salon du Livre,Client Existant - Reduction,
OPP00000438,438,ACC000311,Commande 438,Qualification,94577.36,54.7,2022-07-29,2022-02-26,Demarchage,Client Existant - Renouvellement,59
OPP00000439,439,ACC000560,Commande 439,Closed Won,53465.78,100.0,2022-03-23,2021-09-30,Recommandation,Client Existant - Extension,
OPP00000440,440,ACC000312,Commande 440,Closed Won,34577.05,100.0,2023-12-21,2023-07-22,Recommandation,Nouveau Client,39
OPP00000441,441,ACC000414,Commande 441,Negociation,53727.55,79.8,2024-02-09,2023-12-17,Recommandation,Client Existant - Reduction,
OPP00000442,442,ACC000537,Commande 442,Closed Won,93049.88,100.0,2023-05-20,2022-10-27,Reseaux Sociaux,Nouveau Client,
OPP00000443,443,ACC000126,Commande 443,Negociation,48253.51,15.1,2023-08-27,2023-01-08,Site Web,Client Existant - Extension,39
OPP00000444,444,ACC000957,Commande 444,Analyse,46205.63,30.4,2025-01-30,2024-08-03,Demarchage,Client Existant - Extension,29
OPP00000445,445,ACC000951,Commande 445,Closed Won,92111.15,100.0,2022-06-07,2021-06-19,Demarchage,Client Existant - Reduction,70
OPP00000446,446,ACC000966,Commande 446,Negociation,2251.7,43.9,2021-10-02,2021-06-12,Salon du Livre,Client Existant - Reduction,
OPP00000447,447,ACC000354,Commande 447,Qualification,19543.94,79.4,2023-06-13,2022-07-14,Email,Nouveau Client,
OPP00000448,448,ACC000416,Commande 448,Qualification,93235.16,78.0,2023-07-31,2022-11-09,Salon du Livre,Client Existant - Extension,68
OPP00000449,449,ACC000975,Commande 449,Negociation,85840.58,21.3,2024-09-28,2024-03-04,Demarchage,Client Existant - Extension,
OPP00000450,450,ACC000786,Commande 450,Qualification,69229.29,23.6,2023-04-21,2022-11-07,Email,Client Existant - Extension,56
OPP00000451,451,ACC000456,Commande 451,Analyse,56819.55,29.0,2022-08-10,2022-04-10,Site Web,Client Existant - Extension,54
OPP00000452,452,ACC000768,Commande 452,Qualification,4051.15,42.8,2023-11-10,2023-06-29,Recommandation,Client Existant - Reduction,67
OPP00000453,453,ACC000859,Commande 453,Negociation,17363.17,50.6,2022-09-20,2021-12-11,Reseaux Sociaux,Client Existant - Renouvellement,49
OPP00000454,454,ACC000354,Commande 454,Closed Won,24941.81,100.0,2024-06-18,2023-08-13,Salon du Livre,Client Existant - Extension,
OPP00000455,455,ACC000528,Commande 455,Negociation,63525.59,33.3,2024-08-19,2024-01-07,Demarchage,Client Existant - Reduction,
OPP00000456,456,ACC000730,Commande 456,Closed Won,42265.2,100.0,2025-02-19,2024-08-23,Site Web,Client Existant - Reduction,40
OPP00000457,457,ACC000354,Commande 457,Closed Won,45858.76,100.0,2025-08-02,2024-08-10,Site Web,Nouveau Client,77
OPP00000458,458,ACC000283,Commande 458,Qualification,39474.95,35.2,2022-06-07,2021-10-11,Email,Client Existant - Reduction,
OPP00000459,459,ACC000976,Commande 459,Closed Won,54783.87,100.0,2022-03-01,2022-01-25,Email,Nouveau Client,7
OPP00000460,460,ACC000690,Commande 460,Proposition,68948.07,73.1,2024-06-07,2024-01-11,Partenaire,Client Existant - Extension,
OPP00000461,461,ACC000673,Commande 461,Closed Won,4367.21,100.0,2023-08-27,2023-05-06,Reseaux Sociaux,Client Existant - Extension,66
OPP00000462,462,ACC000759,Commande 462,Closed Won,90187.85,100.0,2025-04-06,2024-06-02,Site Web,Client Existant - Extension,28
OPP00000463,463,ACC000055,Commande 463,Negociation,89567.07,46.2,2021-12-07,2021-09-17,Recommandation,Client Existant - Extension,32
OPP00000464,464,ACC000854,Commande 464,Proposition,26022.37,78.5,2024-10-15,2023-10-17,Site Web,Client Existant - Reduction,
OPP00000465,465,ACC000803,Commande 465,Closed Won,88180.03,100.0,2022-05-10,2021-12-17,Salon du Livre,Nouveau Client,64
OPP00000466,466,ACC000969,Commande 466,Closed Won,53755.05,100.0,2025-03-20,2024-08-07,Partenaire,Client Existant - Extension,70
OPP00000467,467,ACC000831,Commande 467,Negociation,95480.11,31.6,2022-01-10,2021-07-16,Salon du Livre,Client Existant - Renouvellement,55
OPP00000468,468,ACC000002,Commande 468,Analyse,74145.61,41.8,2022-04-06,2021-10-03,Reseaux Sociaux,Client Existant - Renouvellement,
OPP00000469,469,ACC000113,Commande 469,Closed Won,50340.12,100.0,2025-05-21,2024-05-29,Site Web,Nouveau Client,66
OPP00000470,470,ACC000212,Commande 470,Qualification,37326.09,50.9,2024-12-18,2024-09-11,Demarchage,Nouveau Client,56
OPP00000471,471,ACC000104,Commande 471,Negociation,79001.81,42.1,2023-06-10,2023-03-22,Email,Client Existant - Extension,
OPP00000472,472,ACC000521,Commande 472,Qualification,80500.62,51.5,2023-01-04,2022-08-19,Recommandation,Client Existant - Reduction,
OPP00000473,473,ACC000064,Commande 473,Proposition,13961.29,40.1,2022-12-19,2022-11-07,Demarchage,Client Existant - Extension,81
OPP00000474,474,ACC000978,Commande 474,Negociation,58130.69,49.0,2025-02-21,2024-02-26,Partenaire,Client Existant - Extension,
OPP00000475,475,ACC000112,Commande 475,Analyse,1719.56,53.8,2025-02-23,2024-08-23,Demarchage,Nouveau Client,95
OPP00000476,476,ACC000679,Commande 476,Qualification,92398.93,22.2,2022-01-11,2021-10-25,Recommandation,Client Existant - Reduction,84
OPP00000477,477,ACC000155,Commande 477,Analyse,63403.61,12.5,2024-08-21,2024-01-26,Partenaire,Nouveau Client,
OPP00000478,478,ACC000735,Commande 478,Qualification,29700.24,57.8,2022-12-16,2022-10-13,Recommandation,Client Existant - Extension,88
OPP00000479,479,ACC000974,Commande 479,Closed Won,55763.27,100.0,2025-03-18,2024-09-02,Recommandation,Client Existant - Reduction,45
OPP00000480,480,ACC000154,Commande 480,Closed Won,33244.68,100.0,2024-01-26,2023-02-23,Recommandation,Client Existant - Reduction,22
OPP00000481,481,ACC000677,Commande 481,Negociation,55585.94,36.0,2022-06-30,2021-10-31,Recommandation,Client Existant - Reduction,
OPP00000482,482,ACC000719,Commande 482,Analyse,84468.21,70.1,2022-03-12,2021-11-08,Site Web,Client Existant - Extension,86
OPP00000483,483,ACC000058,Commande 483,Qualification,22802.1,74.9,2025-07-08,2024-08-23,Email,Client Existant - Extension,
OPP00000484,484,ACC000850,Commande 484,Negociation,12439.11,41.1,2023-07-13,2022-10-28,Demarchage,Nouveau Client,
OPP00000485,485,ACC000664,Commande 485,Proposition,82109.95,44.2,2024-11-06,2024-03-07,Demarchage,Nouveau Client,
OPP00000486,486,ACC000441,Commande 486,Proposition,41548.98,37.9,2024-06-15,2023-08-15,Email,Nouveau Client,37
OPP00000487,487,ACC000450,Commande 487,Negociation,51651.34,72.0,2022-03-15,2021-10-05,Partenaire,Client Existant - Renouvellement,
OPP00000488,488,ACC000369,Commande 488,Closed Won,52013.98,100.0,2024-03-05,2023-08-30,Recommandation,Client Existant - Renouvellement,74
OPP00000489,489,ACC000479,Commande 489,Closed Won,18614.96,100.0,2023-10-03,2023-06-03,Salon du Livre,Nouveau Client,71
OPP00000490,490,ACC000733,Commande 490,Closed Won,52425.56,100.0,2024-03-03,2024-01-20,Demarchage,Nouveau Client,89
OPP00000491,491,ACC000925,Commande 491,Negociation,97620.87,53.7,2023-10-13,2023-03-14,Site Web,Client Existant - Reduction,
OPP00000492,492,ACC000123,Commande 492,Closed Won,89911.61,100.0,2022-08-14,2022-04-30,Email,Nouveau Client,
OPP00000493,493,ACC000314,Commande 493,Closed Won,32614.21,100.0,2023-02-27,2022-07-22,Reseaux Sociaux,Client Existant - Renouvellement,
OPP00000494,494,ACC000782,Commande 494,Closed Won,69026.17,100.0,2025-03-26,2024-06-12,Salon du Livre,Nouveau Client,84
OPP00000495,495,ACC000149,Commande 495,Closed Won,15726.62,100.0,2023-08-18,2023-03-27,Partenaire,Client Existant - Renouvellement,
OPP00000496,496,ACC000655,Commande 496,Analyse,88884.44,77.2,2022-08-23,2022-05-23,Salon du Livre,Client Existant - Renouvellement,
OPP00000497,497,ACC000953,Commande 497,Closed Won,15719.5,100.0,2024-08-03,2024-04-02,Salon du Livre,Nouveau Client,79
OPP00000498,498,ACC000939,Commande 498,Negociation,60854.65,53.1,2022-06-13,2021-08-02,Email,Nouveau Client,3
OPP00000499,499,ACC000262,Commande 499,Negociation,64051.34,67.0,2022-05-10,2021-08-14,Demarchage,Nouveau Client,
OPP00000500,500,ACC000495,Commande 500,Closed Won,25235.54,100.0,2024-05-14,2023-05-16,Site Web,Client Existant - Reduction,80
OPP00000501,501,ACC000715,Commande 501,Analyse,24365.35,49.1,2023-05-23,2023-03-08,Reseaux Sociaux,Client Existant - Extension,80
OPP00000502,502,ACC000103,Commande 502,Analyse,84884.18,26.8,2022-11-19,2022-06-07,Salon du Livre,Client Existant - Extension,88
OPP00000503,503,ACC000477,Commande 503,Analyse,26400.31,69.8,2023-03-01,2022-07-08,Recommandation,Client Existant - Reduction,52
OPP00000504,504,ACC000087,Commande 504,Closed Won,71316.92,100.0,2025-03-08,2024-04-28,Email,Nouveau Client,
OPP00000505,505,ACC000800,Commande 505,Closed Won,35063.8,100.0,2024-11-19,2024-03-05,Site Web,Client Existant - Reduction,
OPP00000506,506,ACC000232,Commande 506,Analyse,13887.51,70.9,2023-07-20,2022-11-06,Email,Nouveau Client,
OPP00000507,507,ACC000807,Commande 507,Qualification,34595.29,33.2,2025-02-23,2024-04-11,Partenaire,Client Existant - Reduction,
OPP00000508,508,ACC000649,Commande 508,Closed Won,12854.3,100.0,2023-07-17,2023-01-04,Site Web,Nouveau Client,
OPP00000509,509,ACC000360,Commande 509,Negociation,6455.93,23.2,2025-01-22,2024-02-04,Reseaux Sociaux,Client Existant - Renouvellement,99
OPP00000510,510,ACC000431,Commande 510,Negociation,75725.58,36.8,2024-04-22,2023-07-07,Salon du Livre,Client Existant - Extension,35
OPP00000511,511,ACC000428,Commande 511,Proposition,71541.72,11.8,2025-04-22,2024-06-24,Reseaux Sociaux,Client Existant - Reduction,36
OPP00000512,512,ACC000830,Commande 512,Closed Won,59340.76,100.0,2023-09-10,2023-06-20,Recommandation,Client Existant - Reduction,
OPP00000513,513,ACC000181,Commande 513,Proposition,7952.19,60.0,2021-09-26,2021-08-25,Salon du Livre,Client Existant - Extension,70
OPP00000514,514,ACC000634,Commande 514,Negociation,14654.91,25.0,2023-09-18,2023-02-25,Recommandation,Nouveau Client,29
OPP00000515,515,ACC000617,Commande 515,Analyse,64545.1,40.0,2024-09-26,2024-06-06,Salon du Livre,Nouveau Client,65
OPP00000516,516,ACC000070,Commande 516,Negociation,37527.92,67.3,2023-02-27,2022-11-30,Partenaire,Client Existant - Renouvellement,
OPP00000517,517,ACC000541,Commande 517,Proposition,97933.47,75.7,2024-08-17,2024-05-19,Partenaire,Client Existant - Reduction,
OPP00000518,518,ACC000012,Commande 518,Closed Won,58225.46,100.0,2023-07-21,2022-12-09,Site Web,Client Existant - Renouvellement,
OPP00000519,519,ACC000057,Commande 519,Closed Won,66848.84,100.0,2023-08-27,2023-03-16,Demarchage,Client Existant - Extension,
OPP00000520,520,ACC000706,Commande 520,Qualification,67923.62,42.0,2023-08-16,2022-09-17,Site Web,Client Existant - Renouvellement,71
OPP00000521,521,ACC000396,Commande 521,Closed Won,27185.9,100.0,2023-05-04,2022-11-09,Partenaire,Nouveau Client,22
OPP00000522,522,ACC000527,Commande 522,Proposition,27892.93,57.8,2025-03-19,2024-04-26,Demarchage,Client Existant - Renouvellement,40
OPP00000523,523,ACC000471,Commande 523,Closed Won,46571.88,100.0,2024-01-23,2023-08-09,Demarchage,Nouveau Client,
OPP00000524,524,ACC000884,Commande 524,Qualification,88359.84,66.7,2023-10-11,2023-05-29,Recommandation,Nouveau Client,40
OPP00000525,525,ACC000645,Commande 525,Proposition,53486.96,23.8,2024-07-16,2024-01-05,Recommandation,Client Existant - Reduction,1
OPP00000526,526,ACC000688,Commande 526,Analyse,77312.42,13.1,2023-10-15,2023-03-03,Recommandation,Client Existant - Reduction,54
OPP00000527,527,ACC000831,Commande 527,Closed Won,21389.55,100.0,2024-03-13,2023-07-07,Email,Client Existant - Reduction,57
OPP00000528,528,ACC000138,Commande 528,Proposition,86592.25,47.4,2024-12-03,2024-08-31,Site Web,Client Existant - Extension,91
OPP00000529,529,ACC000075,Commande 529,Qualification,32255.22,25.7,2024-07-15,2023-10-16,Demarchage,Client Existant - Reduction,
OPP00000530,530,ACC000585,Commande 530,Closed Won,26559.14,100.0,2023-07-13,2023-01-23,Demarchage,Client Existant - Extension,33
OPP00000531,531,ACC000934,Commande 531,Closed Won,27936.61,100.0,2024-12-12,2024-05-04,Email,Client Existant - Extension,79
OPP00000532,532,ACC000707,Commande 532,Negociation,8492.33,67.9,2022-05-27,2021-07-19,Demarchage,Client Existant - Reduction,30
OPP00000533,533,ACC000987,Commande 533,Analyse,6315.38,12.3,2023-05-28,2022-09-24,Partenaire,Client Existant - Reduction,68
OPP00000534,534,ACC000323,Commande 534,Negociation,29205.19,62.9,2023-10-18,2023-08-04,Reseaux Sociaux,Client Existant - Extension,61
OPP00000535,535,ACC000876,Commande 535,Qualification,97721.76,17.1,2023-08-02,2022-12-30,Partenaire,Client Existant - Extension,22
OPP00000536,536,ACC000267,Commande 536,Closed Won,89718.66,100.0,2024-11-19,2024-03-05,Salon du Livre,Client Existant - Reduction,19
OPP00000537,537,ACC000176,Commande 537,Qualification,22488.63,55.5,2025-02-14,2024-03-08,Partenaire,Client Existant - Renouvellement,47
OPP00000538,538,ACC000519,Commande 538,Analyse,9790.71,61.9,2024-05-28,2023-07-11,Reseaux Sociaux,Client Existant - Extension,62
OPP00000539,539,ACC000212,Commande 539,Analyse,31095.9,26.9,2022-12-23,2022-04-18,Email,Client Existant - Extension,34
OPP00000540,540,ACC000170,Commande 540,Proposition,19348.37,10.5,2024-06-17,2023-08-13,Reseaux Sociaux,Nouveau Client,
OPP00000541,541,ACC000012,Commande 541,Closed Won,19433.6,100.0,2024-09-09,2024-05-18,Salon du Livre,Client Existant - Renouvellement,81
OPP00000542,542,ACC000566,Commande 542,Analyse,20334.82,76.1,2024-10-24,2024-03-09,Partenaire,Client Existant - Reduction,30
OPP00000543,543,ACC000116,Commande 543,Closed Won,59826.61,100.0,2022-01-29,2021-11-04,Reseaux Sociaux,Client Existant - Reduction,82
OPP00000544,544,ACC000248,Commande 544,Negociation,62081.11,76.2,2023-12-18,2023-06-18,Salon du Livre,Client Existant - Extension,20
OPP00000545,545,ACC000127,Commande 545,Negociation,67515.17,26.5,2023-04-06,2022-05-11,Demarchage,Client Existant - Reduction,4
OPP00000546,546,ACC000576,Commande 546,Analyse,43343.69,30.2,2022-12-07,2022-09-21,Email,Nouveau Client,
OPP00000547,547,ACC000877,Commande 547,Closed Won,45780.37,100.0,2023-11-21,2023-05-04,Recommandation,Client Existant - Reduction,
OPP00000548,548,ACC000070,Commande 548,Analyse,37868.93,57.8,2024-10-24,2024-08-10,Salon du Livre,Client Existant - Reduction,76
OPP00000549,549,ACC000658,Commande 549,Closed Won,98084.45,100.0,2024-06-26,2024-05-02,Partenaire,Nouveau Client,
OPP00000550,550,ACC000955,Commande 550,Analyse,73397.2,22.1,2025-06-12,2024-09-02,Reseaux Sociaux,Client Existant - Reduction,14
OPP00000551,551,ACC000333,Commande 551,Closed Won,18621.48,100.0,2024-12-23,2024-01-07,Salon du Livre,Client Existant - Reduction,
OPP00000552,552,ACC000492,Commande 552,Proposition,56865.07,73.0,2023-11-06,2023-03-11,Demarchage,Client Existant - Reduction,70
OPP00000553,553,ACC000284,Commande 553,Closed Won,50871.83,100.0,2024-11-05,2024-06-02,Site Web,Client Existant - Reduction,35
OPP00000554,554,ACC000884,Commande 554,Analyse,74580.48,68.3,2023-07-19,2022-12-31,Demarchage,Client Existant - Extension,33
OPP00000555,555,ACC000379,Commande 555,Analyse,69362.38,28.6,2023-04-17,2023-01-05,Reseaux Sociaux,Nouveau Client,
OPP00000556,556,ACC000167,Commande 556,Closed Won,68768.27,100.0,2024-09-14,2023-09-23,Reseaux Sociaux,Client Existant - Renouvellement,93
OPP00000557,557,ACC000391,Commande 557,Closed Won,35544.0,100.0,2024-08-31,2023-09-23,Recommandation,Client Existant - Extension,100
OPP00000558,558,ACC000274,Commande 558,Negociation,98368.4,69.7,2023-06-13,2022-07-29,Demarchage,Client Existant - Renouvellement,60
OPP00000559,559,ACC000343,Commande 559,Qualification,91968.01,37.5,2022-06-18,2022-05-04,Partenaire,Client Existant - Extension,95
OPP00000560,560,ACC000683,Commande 560,Analyse,37268.1,13.4,2024-02-05,2023-04-15,Partenaire,Client Existant - Extension,9
OPP00000561,561,ACC000102,Commande 561,Closed Won,89136.16,100.0,2025-02-09,2024-05-13,Partenaire,Client Existant - Renouvellement,
OPP00000562,562,ACC000768,Commande 562,Analyse,89808.82,48.6,2023-10-20,2022-12-06,Demarchage,Nouveau Client,
OPP00000563,563,ACC000258,Commande 563,Closed Won,45370.15,100.0,2023-10-06,2023-05-07,Reseaux Sociaux,Nouveau Client,84
OPP00000564,564,ACC000688,Commande 564,Closed Won,54472.28,100.0,2024-04-29,2023-05-30,Email,Client Existant - Extension,24
OPP00000565,565,ACC000884,Commande 565,Qualification,19839.83,54.3,2022-07-29,2022-01-20,Demarchage,Client Existant - Extension,72
OPP00000566,566,ACC000138,Commande 566,Closed Won,48271.28,100.0,2022-06-30,2021-09-09,Partenaire,Nouveau Client,
OPP00000567,567,ACC000077,Commande 567,Qualification,63819.78,72.6,2024-04-30,2023-06-02,Demarchage,Client Existant - Renouvellement,41
OPP00000568,568,ACC000576,Commande 568,Closed Won,5596.65,100.0,2023-10-06,2023-04-29,Demarchage,Client Existant - Extension,
OPP00000569,569,ACC000765,Commande 569,Closed Won,41749.76,100.0,2025-07-20,2024-09-06,Reseaux Sociaux,Client Existant - Extension,
OPP00000570,570,ACC000362,Commande 570,Proposition,23879.67,17.5,2024-09-27,2024-02-07,Partenaire,Client Existant - Reduction,94
OPP00000571,571,ACC000100,Commande 571,Proposition,11651.44,34.5,2024-02-16,2023-09-17,Reseaux Sociaux,Nouveau Client,59
OPP00000572,572,ACC000578,Commande 572,Qualification,83737.74,49.7,2023-10-08,2023-01-06,Email,Client Existant - Extension,15
OPP00000573,573,ACC000889,Commande 573,Negociation,47138.62,44.3,2024-01-28,2023-03-05,Email,Client Existant - Extension,
OPP00000574,574,ACC000172,Commande 574,Closed Won,55711.53,100.0,2024-10-06,2024-02-19,Partenaire,Client Existant - Renouvellement,
OPP00000575,575,ACC000533,Commande 575,Analyse,28990.59,62.2,2022-08-27,2022-01-09,Recommandation,Nouveau Client,
OPP00000576,576,ACC000045,Commande 576,Closed Won,54114.1,100.0,2024-06-17,2023-09-25,Site Web,Nouveau Client,
OPP00000577,577,ACC000599,Commande 577,Closed Won,67717.03,100.0,2022-12-02,2022-06-27,Partenaire,Client Existant - Renouvellement,
OPP00000578,578,ACC000570,Commande 578,Analyse,69435.49,51.0,2024-05-10,2024-02-29,Email,Nouveau Client,
OPP00000579,579,ACC000532,Commande 579,Analyse,92751.45,74.4,2022-02-25,2021-11-23,Reseaux Sociaux,Client Existant - Renouvellement,
OPP00000580,580,ACC000345,Commande 580,Proposition,66778.19,70.4,2024-10-26,2024-02-09,Partenaire,Client Existant - Extension,44
OPP00000581,581,ACC000149,Commande 581,Closed Won,45862.1,100.0,2022-11-28,2022-01-26,Demarchage,Client Existant - Reduction,
OPP00000582,582,ACC000564,Commande 582,Qualification,8967.77,50.5,2024-10-07,2024-07-23,Site Web,Client Existant - Reduction,10
OPP00000583,583,ACC000775,Commande 583,Qualification,73294.41,30.6,2024-01-20,2023-09-16,Recommandation,Nouveau Client,32
OPP00000584,584,ACC000274,Commande 584,Closed Won,48879.41,100.0,2022-09-08,2022-08-02,Recommandation,Client Existant - Reduction,
OPP00000585,585,ACC000866,Commande 585,Closed Won,26270.06,100.0,2023-03-18,2022-10-07,Partenaire,Client Existant - Renouvellement,98
OPP00000586,586,ACC000941,Commande 586,Proposition,19031.21,60.6,2025-06-12,2024-08-10,Reseaux Sociaux,Client Existant - Reduction,
OPP00000587,587,ACC000415,Commande 587,Closed Won,3961.15,100.0,2023-08-06,2023-02-12,Partenaire,Client Existant - Renouvellement,6
OPP00000588,588,ACC000895,Commande 588,Analyse,53515.82,16.1,2025-06-25,2024-08-09,Demarchage,Nouveau Client,61
OPP00000589,589,ACC000547,Commande 589,Closed Won,70957.3,100.0,2023-03-24,2023-01-03,Salon du Livre,Nouveau Client,74
OPP00000590,590,ACC000451,Commande 590,Closed Won,30547.13,100.0,2025-01-23,2024-07-06,Reseaux Sociaux,Client Existant - Reduction,
OPP00000591,591,ACC000352,Commande 591,Analyse,95930.13,14.3,2021-09-11,2021-08-10,Salon du Livre,Client Existant - Reduction,72
OPP00000592,592,ACC000390,Commande 592,Analyse,14696.01,39.6,2024-12-11,2024-01-28,Reseaux Sociaux,Client Existant - Extension,83
OPP00000593,593,ACC000653,Commande 593,Qualification,35677.78,71.0,2022-06-01,2021-12-02,Email,Client Existant - Extension,68
OPP00000594,594,ACC000002,Commande 594,Qualification,50388.56,51.7,2022-10-04,2022-07-25,Demarchage,Client Existant - Renouvellement,77
OPP00000595,595,ACC000094,Commande 595,Negociation,44958.66,11.6,2024-01-24,2023-02-13,Recommandation,Client Existant - Reduction,90
OPP00000596,596,ACC000893,Commande 596,Closed Won,35358.64,100.0,2022-07-28,2021-10-11,Partenaire,Nouveau Client,21
OPP00000597,597,ACC000548,Commande 597,Proposition,88529.58,57.1,2022-05-02,2022-03-07,Partenaire,Client Existant - Renouvellement,74
OPP00000598,598,ACC000642,Commande 598,Closed Won,53981.46,100.0,2022-07-06,2021-12-25,Reseaux Sociaux,Client Existant - Reduction,45
OPP00000599,599,ACC000370,Commande 599,Analyse,8924.72,77.1,2024-03-10,2023-06-10,Site Web,Client Existant - Reduction,3
OPP00000600,600,ACC000762,Commande 600,Closed Won,34384.23,100.0,2023-05-06,2023-02-02,Salon du Livre,Nouveau Client,61
OPP00000601,601,ACC000809,Commande 601,Qualification,87505.35,66.6,2023-03-28,2022-07-13,Salon du Livre,Client Existant - Extension,56
OPP00000602,602,ACC000340,Commande 602,Negociation,34304.25,49.2,2023-08-07,2023-03-21,Recommandation,Client Existant - Renouvellement,
OPP00000603,603,ACC000260,Commande 603,Qualification,11922.95,50.0,2023-01-08,2022-06-04,Email,Client Existant - Reduction,88
OPP00000604,604,ACC000930,Commande 604,Negociation,38864.87,41.4,2023-02-22,2022-10-05,Site Web,Nouveau Client,
OPP00000605,605,ACC000737,Commande 605,Negociation,14825.28,38.9,2023-10-09,2023-03-16,Email,Client Existant - Reduction,24
OPP00000606,606,ACC000759,Commande 606,Proposition,95488.92,25.6,2025-01-06,2024-04-26,Demarchage,Client Existant - Extension,12
OPP00000607,607,ACC000457,Commande 607,Analyse,17562.69,79.0,2023-07-08,2023-05-28,Reseaux Sociaux,Client Existant - Renouvellement,48
OPP00000608,608,ACC000794,Commande 608,Proposition,22274.0,22.6,2024-06-16,2023-08-17,Partenaire,Nouveau Client,76
OPP00000609,609,ACC000370,Commande 609,Closed Won,5679.14,100.0,2024-12-28,2024-09-11,Site Web,Nouveau Client,
OPP00000610,610,ACC000217,Commande 610,Closed Won,72094.48,100.0,2025-08-19,2024-09-11,Site Web,Client Existant - Extension,28
OPP00000611,611,ACC000601,Commande 611,Closed Won,11283.6,100.0,2024-07-05,2024-01-10,Email,Nouveau Client,
OPP00000612,612,ACC000877,Commande 612,Closed Won,7778.96,100.0,2022-06-06,2021-06-15,Site Web,Client Existant - Reduction,60
OPP00000613,613,ACC000495,Commande 613,Analyse,12744.33,58.9,2022-11-20,2021-12-24,Recommandation,Client Existant - Reduction,
OPP00000614,614,ACC000964,Commande 614,Proposition,28445.17,17.5,2024-10-10,2024-08-28,Email,Client Existant - Extension,47
OPP00000615,615,ACC000586,Commande 615,Closed Won,28853.82,100.0,2021-12-12,2021-06-06,Reseaux Sociaux,Client Existant - Renouvellement,
OPP00000616,616,ACC000360,Commande 616,Closed Won,54932.12,100.0,2023-08-21,2022-10-25,Email,Client Existant - Reduction,
OPP00000617,617,ACC000811,Commande 617,Closed Won,77766.25,100.0,2023-12-01,2023-08-15,Reseaux Sociaux,Client Existant - Reduction,81
OPP00000618,618,ACC000531,Commande 618,Closed Won,28783.6,100.0,2022-11-26,2022-07-09,Reseaux Sociaux,Client Existant - Extension,
OPP00000619,619,ACC000890,Commande 619,Analyse,46203.84,67.6,2024-07-02,2023-12-30,Site Web,Nouveau Client,
OPP00000620,620,ACC000898,Commande 620,Analyse,49578.77,40.0,2023-06-19,2023-04-13,Salon du Livre,Client Existant - Extension,94
OPP00000621,621,ACC000463,Commande 621,Closed Won,64103.21,100.0,2024-01-09,2023-07-24,Demarchage,Client Existant - Reduction,17
OPP00000622,622,ACC000220,Commande 622,Qualification,86524.69,11.8,2023-03-13,2022-10-14,Site Web,Client Existant - Extension,92
OPP00000623,623,ACC000294,Commande 623,Closed Won,7194.18,100.0,2024-01-14,2023-07-10,Demarchage,Nouveau Client,
OPP00000624,624,ACC000450,Commande 624,Qualification,22300.49,72.2,2024-12-31,2024-08-21,Site Web,Client Existant - Reduction,14
OPP00000625,625,ACC000539,Commande 625,Negociation,77328.94,48.8,2023-04-24,2023-02-24,Email,Client Existant - Renouvellement,69
OPP00000626,626,ACC000532,Commande 626,Proposition,39930.29,34.9,2022-02-03,2021-09-07,Partenaire,Client Existant - Renouvellement,76
OPP00000627,627,ACC000378,Commande 627,Qualification,5814.16,42.7,2024-02-26,2023-10-06,Reseaux Sociaux,Client Existant - Extension,
OPP00000628,628,ACC000377,Commande 628,Closed Won,80613.19,100.0,2025-01-06,2024-02-29,Site Web,Client Existant - Extension,
OPP00000629,629,ACC000151,Commande 629,Closed Won,42230.25,100.0,2023-06-02,2022-12-08,Site Web,Nouveau Client,
OPP00000630,630,ACC000147,Commande 630,Closed Won,28847.85,100.0,2024-04-19,2024-01-26,Demarchage,Nouveau Client,3
OPP00000631,631,ACC000833,Commande 631,Closed Won,1846.33,100.0,2022-10-16,2021-12-30,Salon du Livre,Client Existant - Extension,
